Distance_m,Profile_mm
0.455,-8.232186441577
0.456,-8.04330074025577
0.457,-7.83748621072264
0.458,-7.80464341910522
0.459,-7.82444320355003
0.46,-7.90748539100953
0.461,-8.17004508398156
0.462,-8.60426078203063
0.463,-9.02693211456676
0.464,-9.32817775120912
0.465,-9.44870303106408
0.466,-9.33938361478189
0.467,-9.06194014904975
0.468,-8.67179560703879
0.469,-8.33751795622043
0.47,-8.06074324178157
0.471,-7.9230836435339
0.472,-8.16931228963148
0.473,-8.55625522737423
0.474,-8.71490652149378
0.475,-8.79658222097598
0.476,-9.17307050254273
0.477,-9.59177849182506
0.478,-9.62080242572954
0.479,-9.41256991511413
0.48,-9.28548502630615
0.481,-9.29955392779744
0.482,-9.22368625312208
0.483,-8.85418776737243
0.484,-8.22231264007894
0.485,-7.68648613436683
0.486,-7.50713582986651
0.487,-7.57922885691351
0.488,-7.83017177217577
0.489,-8.08061570259413
0.49,-8.20840022527987
0.491,-8.24985387669431
0.492,-8.2841385471373
0.493,-8.43699277654536
0.494,-8.67710600893932
0.495,-9.0193112212528
0.496,-9.35094678807375
0.497,-9.4559077251234
0.498,-9.33117017067327
0.499,-9.12420093924695
0.5,-9.01239281281688
0.501,-8.95063912837848
0.502,-8.8476268207938
0.503,-8.6539631552177
0.504,-8.3690737177184
0.505,-8.23617103075204
0.506,-8.56590060397676
0.507,-9.06701645615682
0.508,-9.29787415356486
0.509,-9.43199893562391
0.51,-9.60810108194035
0.511,-9.80638108663464
0.512,-9.78553139561087
0.513,-9.49116675363523
0.514,-9.17773857044646
0.515,-8.79414928003903
0.516,-8.47334457517322
0.517,-8.32885330954621
0.518,-8.32407191964118
0.519,-8.42987069721606
0.52,-8.62328245208398
0.521,-8.8723006581391
0.522,-8.94099338962074
0.523,-8.87937673747041
0.524,-8.94655102040532
0.525,-9.32729411304877
0.526,-9.81240323822264
0.527,-9.93274955162322
0.528,-9.75557399291685
0.529,-9.5978342178429
0.53,-9.61058941124141
0.531,-9.5603273010252
0.532,-9.13748302637238
0.533,-8.49708503627657
0.534,-8.1441760616619
0.535,-8.4185907508038
0.536,-9.00786127354663
0.537,-9.44522224648198
0.538,-9.47983008014625
0.539,-9.24411434884168
0.54,-8.99701479082515
0.541,-8.64433638676976
0.542,-8.37065423583095
0.543,-8.38891658679445
0.544,-8.82740329494731
0.545,-9.56988996686748
0.546,-9.93961629711459
0.547,-10.0733479324643
0.548,-10.2108559745435
0.549,-10.2156068632421
0.55,-10.3558036104467
0.551,-10.4475733518033
0.552,-10.0935372099021
0.553,-9.17758948455199
0.554,-8.26827510489436
0.555,-7.94367896009508
0.556,-7.85466945624409
0.557,-7.91355282958542
0.558,-8.09375295438461
0.559,-8.22884630596164
0.56,-8.31643242998171
0.561,-8.26249417218649
0.562,-8.27990829241226
0.563,-8.37231900562037
0.564,-8.38532092134062
0.565,-8.48061183851862
0.566,-8.76829488610743
0.567,-9.25964110697961
0.568,-9.67917036999541
0.569,-9.84558360674827
0.57,-9.83837435945907
0.571,-9.62795821760078
0.572,-9.38998604774584
0.573,-9.22865432309808
0.574,-9.01129250249639
0.575,-8.79393581240141
0.576,-8.66754099458068
0.577,-8.63638561363142
0.578,-8.71981512495308
0.579,-8.87815976247409
0.58,-8.98281089315784
0.581,-8.93634045006091
0.582,-8.85423322384996
0.583,-8.79638372506137
0.584,-8.65019327390001
0.585,-8.54997743392129
0.586,-8.5752161735814
0.587,-8.66515129591022
0.588,-8.84770085197465
0.589,-8.97470492288384
0.59,-8.94765269743555
0.591,-8.88625810502507
0.592,-8.91655382638433
0.593,-9.06375871797104
0.594,-9.16001451738341
0.595,-9.17381365804884
0.596,-9.24482052827343
0.597,-9.32028789213346
0.598,-9.36357107991421
0.599,-9.32131275085105
0.6,-9.22385478111168
0.601,-9.15174402492963
0.602,-9.09450051516724
0.603,-9.32574139532345
0.604,-9.71063680284267
0.605,-9.86488599002144
0.606,-9.86261821636666
0.607,-9.75766838451293
0.608,-9.54344728994356
0.609,-9.15341616776298
0.61,-8.74723022652966
0.611,-8.71459046328873
0.612,-8.87801790139907
0.613,-8.89078350936073
0.614,-8.7625559738741
0.615,-8.60883994561047
0.616,-8.57845594557757
0.617,-8.70189322706902
0.618,-8.95424213323304
